INSTANCE,DEF,MAXP,MAXPW,MINW,CCA,KNN,LOGREG,MLPC,RF,SVM
GA-DEF_EASY_100_028.kp,820,342,749,759,759,342,820,820,284,342
GA-DEF_EASY_100_029.kp,833,686,761,694,694,686,694,694,751,694
GA-DEF_EASY_100_030.kp,826,457,757,757,757,826,826,826,826,826
GA-DEF_EASY_100_031.kp,623,474,549,549,474,474,623,474,474,474
GA-DEF_EASY_100_032.kp,579,251,506,449,449,579,449,506,449,579
GA-DEF_EASY_100_033.kp,614,500,545,430,500,500,614,614,498,614
GA-DEF_EASY_100_034.kp,772,586,708,708,586,590,772,586,586,586
GA-DEF_EASY_100_035.kp,682,538,598,598,538,591,598,682,605,682
GA-DEF_EASY_100_036.kp,798,361,724,673,673,798,798,798,798,798
GA-DEF_EASY_100_037.kp,768,255,703,620,255,255,768,255,255,255
GA-DEF_EASY_100_038.kp,556,431,493,412,431,431,556,556,431,556
GA-DEF_EASY_100_039.kp,658,251,586,503,503,658,658,658,658,658
GA-DEF_EASY_100_040.kp,667,556,568,568,568,667,667,667,667,667
GA-DEF_EASY_100_041.kp,781,559,702,702,702,781,781,781,781,781
GA-DEF_EASY_100_042.kp,873,452,802,776,776,873,873,873,873,873
GA-DEF_EASY_100_043.kp,609,345,545,528,345,603,609,609,603,603
GA-DEF_EASY_100_044.kp,642,238,568,487,487,238,642,238,238,238
GA-DEF_EASY_100_045.kp,707,483,630,630,630,707,707,707,707,707
GA-DEF_EASY_100_046.kp,748,199,671,671,671,748,748,748,748,748
GA-DEF_EASY_100_047.kp,691,284,629,608,608,691,691,691,487,691
GA-DEF_EASY_100_048.kp,755,262,682,574,262,262,755,262,262,262
GA-DEF_EASY_100_049.kp,472,264,394,274,264,472,472,472,472,472
GA-DEF_EASY_100_050.kp,902,499,831,831,831,902,902,902,902,902
GA-DEF_EASY_100_051.kp,690,389,616,507,389,690,690,690,690,690
GA-DEF_EASY_100_052.kp,806,496,730,730,496,496,806,496,496,496
GA-DEF_EASY_100_053.kp,723,452,652,652,652,723,723,723,723,723
GA-DEF_EASY_100_054.kp,610,485,538,434,485,506,610,610,506,610
GA-DEF_EASY_100_055.kp,685,235,614,506,235,465,685,245,685,612
GA-DEF_EASY_100_056.kp,648,214,567,567,567,648,648,648,648,648
