INSTANCE,DEF,MAXP,MAXPW,MINW,CCA,KNN,LOGREG,MLPC,RF,SVM
GA-MINW_EASY_100_028.kp,202,469,974,1046,1046,738,852,807,807,807
GA-MINW_EASY_100_029.kp,539,767,1019,1086,1086,740,932,892,567,941
GA-MINW_EASY_100_030.kp,326,586,975,1040,1040,1040,960,1040,1040,1040
GA-MINW_EASY_100_031.kp,176,611,1240,1307,1307,800,974,866,963,800
GA-MINW_EASY_100_032.kp,330,146,876,956,956,620,330,330,514,330
GA-MINW_EASY_100_033.kp,771,573,1095,1157,573,573,837,573,573,573
GA-MINW_EASY_100_034.kp,416,715,1001,1074,1074,855,1074,855,715,855
GA-MINW_EASY_100_035.kp,559,361,978,1039,1039,655,559,641,655,559
GA-MINW_EASY_100_036.kp,127,251,901,965,965,965,578,965,965,965
GA-MINW_EASY_100_037.kp,499,610,1094,1165,1165,1100,1034,1165,1165,1165
GA-MINW_EASY_100_038.kp,189,327,737,810,810,378,189,407,378,189
GA-MINW_EASY_100_039.kp,420,297,1030,1097,1097,1097,1097,1097,1097,1097
GA-MINW_EASY_100_040.kp,394,593,1047,1117,1062,765,1117,1062,765,965
GA-MINW_EASY_100_041.kp,205,421,885,953,953,205,205,205,493,222
GA-MINW_EASY_100_042.kp,246,463,998,1076,1076,1076,1076,1076,1076,1005
GA-MINW_EASY_100_043.kp,359,478,1023,1099,1099,539,904,604,541,589
GA-MINW_EASY_100_044.kp,498,676,1011,1073,1073,716,714,714,714,716
GA-MINW_EASY_100_045.kp,371,312,810,888,888,737,649,737,888,715
GA-MINW_EASY_100_046.kp,269,839,1270,1333,1333,1050,1270,1181,1270,1079
GA-MINW_EASY_100_047.kp,420,674,949,1013,1013,827,1013,1013,827,1013
GA-MINW_EASY_100_048.kp,589,472,1276,1335,472,472,1089,442,832,442
GA-MINW_EASY_100_049.kp,155,332,887,957,957,332,155,155,155,332
GA-MINW_EASY_100_050.kp,320,213,738,804,804,320,320,438,320,320
GA-MINW_EASY_100_051.kp,369,279,1101,1173,1101,279,578,555,279,279
GA-MINW_EASY_100_052.kp,483,504,1263,1341,1341,1341,1341,1147,1147,1172
GA-MINW_EASY_100_053.kp,348,296,903,964,964,964,742,964,964,829
GA-MINW_EASY_100_054.kp,241,468,915,969,915,281,763,782,281,605
GA-MINW_EASY_100_055.kp,286,979,1003,1072,1072,286,506,297,506,286
GA-MINW_EASY_100_056.kp,233,435,878,942,942,942,716,942,942,942
GA-MINW_EASY_100_057.kp,235,437,801,877,877,705,877,877,877,877
GA-MINW_EASY_100_058.kp,149,490,944,1007,1007,512,1007,876,876,876
GA-MINW_EASY_100_059.kp,792,784,1071,1130,1018,866,812,792,609,792
GA-MINW_EASY_100_060.kp,412,552,1105,1178,1178,784,901,996,922,996
GA-MINW_EASY_100_061.kp,257,378,1162,1237,378,684,1237,522,522,684
GA-MINW_EASY_100_062.kp,167,680,1272,1340,1340,1064,808,818,818,808
GA-MINW_EASY_100_063.kp,405,745,1325,1382,1382,1382,1382,1382,1382,1382
GA-MINW_EASY_100_064.kp,151,392,976,1053,1053,854,886,1053,1053,1053
GA-MINW_EASY_100_065.kp,357,550,986,1058,1058,964,847,847,406,779
GA-MINW_EASY_100_066.kp,263,647,866,930,647,695,930,647,709,695
GA-MINW_EASY_100_067.kp,209,478,1011,1075,1075,797,797,797,797,797
GA-MINW_EASY_100_068.kp,83,243,626,686,686,83,83,83,83,83
GA-MINW_EASY_100_069.kp,628,587,985,1048,788,587,862,587,587,587
GA-MINW_EASY_100_070.kp,388,500,1123,1195,479,784,1113,784,773,784
GA-MINW_EASY_100_071.kp,698,793,1207,1283,1283,878,1222,878,1222,878
GA-MINW_EASY_100_072.kp,371,496,911,977,496,496,371,496,496,496
GA-MINW_EASY_100_073.kp,283,599,1157,1220,1220,620,972,656,786,656
GA-MINW_EASY_100_074.kp,401,377,1154,1220,1220,500,500,769,500,744
GA-MINW_EASY_100_075.kp,383,695,1024,1103,1103,605,605,786,941,796
GA-MINW_EASY_100_076.kp,216,444,1054,1127,1127,371,496,496,216,480
GA-MINW_EASY_100_077.kp,253,224,977,1047,991,658,945,898,658,658
GA-MINW_EASY_100_078.kp,369,815,1291,1360,1291,926,940,832,1140,855
GA-MINW_EASY_100_079.kp,322,463,1327,1386,1031,1031,1289,792,1031,1031
GA-MINW_EASY_100_080.kp,154,902,922,978,922,591,208,154,558,558
GA-MINW_EASY_100_081.kp,176,581,1071,1140,1140,176,176,500,176,176
GA-MINW_EASY_100_082.kp,393,606,1079,1149,606,1007,1149,681,912,1038
GA-MINW_EASY_100_083.kp,150,663,1135,1212,1212,673,749,749,606,673
GA-MINW_EASY_100_084.kp,279,671,1096,1155,671,671,717,279,671,671
GA-MINW_EASY_100_085.kp,662,471,1062,1133,1133,863,1087,930,785,948
GA-MINW_EASY_100_086.kp,140,241,1037,1111,1111,263,915,625,772,872
GA-MINW_EASY_100_087.kp,303,583,1090,1159,1159,1159,1159,1004,1004,1004
GA-MINW_EASY_100_088.kp,459,869,1210,1271,1271,1271,1271,1140,1271,1140
GA-MINW_EASY_100_089.kp,316,613,1157,1223,1223,995,995,995,1022,995
GA-MINW_EASY_100_090.kp,118,698,874,939,698,481,939,698,698,698
GA-MINW_EASY_100_091.kp,193,457,1095,1162,1162,911,1057,937,755,755
GA-MINW_EASY_100_092.kp,228,368,1100,1157,1030,519,866,768,519,519
GA-MINW_EASY_100_093.kp,271,810,1248,1328,1328,826,1328,975,826,975
GA-MINW_EASY_100_094.kp,543,128,1205,1266,1266,1266,1266,1266,1266,1266
GA-MINW_EASY_100_095.kp,191,595,774,840,595,258,590,191,595,595
GA-MINW_EASY_100_096.kp,249,706,1162,1247,1162,949,1101,633,633,949
GA-MINW_EASY_100_097.kp,177,560,712,778,778,358,532,560,475,560
GA-MINW_EASY_100_098.kp,468,661,969,1043,1043,464,663,784,468,464
GA-MINW_EASY_100_099.kp,385,350,1102,1175,1175,647,646,646,385,647
