"INSTANCE","WEIGHT","PROFIT","CORRELATION","DEF","MAXP","MAXPW","MINW","MARK","BEST","ORACLE"
"GA-MaxDefault_50_064.kp",0.581,0.48,0.528,1032,804,NA,875,561,"DEF",1032
"GA-MaxDefault_50_065.kp",0.65,0.554,0.388,1087,837,NA,959,472,"DEF",1087
"GA-MaxDefault_50_066.kp",0.601,0.472,0.515,879,747,871,717,405,"DEF",879
"GA-MaxDefault_50_067.kp",0.603,0.486,0.515,993,NA,967,871,570,"DEF",993
"GA-MaxDefault_50_068.kp",0.586,0.512,0.455,1054,988,1006,893,NA,"DEF",1054
"GA-MaxDefault_50_069.kp",0.58,0.46,0.467,1032,725,1014,797,489,"DEF",1032
"GA-MaxDefault_50_070.kp",0.569,0.483,0.592,927,831,NA,565,437,"DEF",927
"GA-MaxDefault_50_071.kp",0.603,0.442,0.388,1093,814,1043,909,554,"DEF",1093
"GA-MaxDefault_50_072.kp",0.63,0.552,0.479,985,657,936,896,466,"DEF",985
"GA-MaxDefault_50_073.kp",0.591,0.521,0.578,1030,716,1026,872,643,"DEF",1030
"GA-MaxDefault_50_074.kp",0.626,0.51,0.501,846,747,799,703,566,"DEF",846
"GA-MaxDefault_50_075.kp",0.608,0.531,0.447,1194,793,1123,NA,427,"DEF",1194
"GA-MaxDefault_50_076.kp",0.615,0.485,0.506,945,812,917,812,385,"DEF",945
"GA-MaxDefault_50_077.kp",0.601,0.538,0.362,1102,613,1084,1014,547,"DEF",1102
"GA-MaxDefault_50_078.kp",0.639,0.467,0.561,729,479,692,465,NA,"DEF",729
"GA-MaxDefault_50_079.kp",0.552,0.49,0.477,1015,883,1005,858,395,"DEF",1015
"GA-MaxDefault_50_080.kp",0.589,0.544,0.498,1006,603,1012,837,476,"MAXPW",1012
"GA-MaxDefault_50_081.kp",0.579,0.46,0.39,1057,918,1046,865,533,"DEF",1057
"GA-MaxDefault_50_082.kp",0.559,0.539,0.565,1142,582,1130,984,464,"DEF",1142
"GA-MaxDefault_50_083.kp",0.629,0.507,0.465,897,831,884,785,560,"DEF",897
"GA-MaxDefault_50_084.kp",0.619,0.473,0.485,878,616,869,773,482,"DEF",878
"GA-MaxDefault_50_085.kp",0.561,0.45,0.594,820,479,809,702,416,"DEF",820
"GA-MaxDefault_50_086.kp",0.603,0.512,0.45,977,783,969,735,571,"DEF",977
"GA-MaxDefault_50_087.kp",0.614,0.484,0.571,828,744,NA,628,459,"DEF",828
"GA-MaxDefault_50_088.kp",0.645,0.481,0.628,779,699,NA,644,553,"DEF",779
"GA-MaxDefault_50_089.kp",0.619,0.449,0.404,1035,NA,1004,795,530,"DEF",1035
"GA-MaxDefault_50_090.kp",0.63,0.595,0.538,980,840,970,912,492,"DEF",980
"GA-MaxDefault_50_091.kp",0.584,0.537,0.537,1181,880,1191,1095,NA,"MAXPW",1191
"GA-MaxDefault_50_092.kp",0.66,0.535,0.328,946,693,931,893,NA,"DEF",946
"GA-MaxDefault_50_093.kp",0.541,0.549,0.642,1005,598,995,846,568,"DEF",1005
"GA-MaxDefault_50_094.kp",0.596,0.467,0.584,821,647,778,756,455,"DEF",821
"GA-MaxDefault_50_095.kp",0.564,0.489,0.338,1234,922,1218,1177,603,"DEF",1234
"GA-MaxDefault_50_096.kp",0.541,0.562,0.424,1323,843,1272,1222,464,"DEF",1323
"GA-MaxDefault_50_097.kp",0.539,0.505,0.38,NA,1153,1436,1280,541,"MAXPW",1436
"GA-MaxDefault_50_098.kp",0.588,0.573,0.513,1107,792,1082,953,464,"DEF",1107
"GA-MaxDefault_50_099.kp",0.615,0.481,0.453,941,703,908,834,467,"DEF",941
"GA-MaxProfitPerWeight_50_000.kp",0.356,0.5,0.607,726,747,1702,NA,485,"MAXPW",1702
"GA-MaxProfitPerWeight_50_001.kp",0.405,0.625,0.603,847,754,1552,889,NA,"MAXPW",1552
"GA-MaxProfitPerWeight_50_002.kp",0.495,0.509,0.58,NA,728,1302,728,571,"MAXPW",1302
"GA-MaxProfitPerWeight_50_003.kp",0.458,0.528,0.589,610,767,1386,689,508,"MAXPW",1386
"GA-MaxProfitPerWeight_50_004.kp",0.417,0.487,0.581,614,787,1465,NA,602,"MAXPW",1465
"GA-MaxProfitPerWeight_50_005.kp",0.436,0.487,0.655,328,626,1309,584,609,"MAXPW",1309
"GA-MaxProfitPerWeight_50_006.kp",0.441,0.511,0.593,538,NA,1450,749,482,"MAXPW",1450
"GA-MaxProfitPerWeight_50_007.kp",0.448,0.563,0.656,632,735,1378,759,579,"MAXPW",1378
"GA-MaxProfitPerWeight_50_008.kp",0.425,0.524,0.648,720,618,1389,677,480,"MAXPW",1389
"GA-MaxProfitPerWeight_50_009.kp",0.499,0.569,0.637,331,628,1255,640,NA,"MAXPW",1255
"GA-MaxProfitPerWeight_50_010.kp",0.501,0.5,0.584,420,611,1208,618,474,"MAXPW",1208
"GA-MaxProfitPerWeight_50_011.kp",0.461,0.492,0.539,178,602,1265,626,602,"MAXPW",1265
"GA-MaxProfitPerWeight_50_012.kp",0.429,0.482,0.541,415,NA,1503,851,584,"MAXPW",1503
"GA-MaxProfitPerWeight_50_013.kp",0.454,0.556,0.512,697,751,1620,1088,548,"MAXPW",1620
