INSTANCE,DEF,MAXP,MAXPW,MINW,PBMH,GA
GA-MAXPW_EASY_100_001,180,382,1142,389,1081.0,837.0
GA-MAXPW_EASY_100_002,180,267,1002,264,1002.0,523.0
GA-MAXPW_EASY_100_003,182,351,1146,353,1083.0,767.0
GA-MAXPW_EASY_100_004,215,142,1069,357,1008.0,679.0
GA-MAXPW_EASY_100_005,174,253,1025,278,1015.0,812.0
GA-MAXPW_EASY_100_006,141,254,1060,274,975.0,603.0
GA-MAXPW_EASY_100_007,332,281,1170,420,1114.0,784.0
GA-MAXPW_EASY_100_008,116,303,1066,310,1041.0,803.0
GA-MAXPW_EASY_100_009,126,128,894,169,825.0,537.0
GA-MAXPW_EASY_100_010,206,380,1295,522,1199.0,670.0
GA-MAXPW_EASY_100_011,164,349,1082,329,999.0,726.0
GA-MAXPW_EASY_100_012,307,256,1014,298,959.0,686.0
GA-MAXPW_EASY_100_013,290,128,1375,662,1283.0,994.0
GA-MAXPW_EASY_100_014,190,212,1110,343,1056.0,762.0
GA-MAXPW_EASY_100_015,262,253,1155,353,1155.0,630.0
GA-MAXPW_EASY_100_016,257,498,1352,629,1292.0,681.0
GA-MAXPW_EASY_100_017,136,252,955,270,955.0,585.0
GA-MAXPW_EASY_100_018,291,128,1097,335,1033.0,723.0
GA-MAXPW_EASY_100_019,268,167,1053,346,993.0,809.0
GA-MAXPW_EASY_100_020,384,501,1278,514,1228.0,1083.0
GA-MAXPW_EASY_100_021,203,408,1161,374,1109.0,814.0
GA-MAXPW_EASY_100_022,242,248,1173,355,1092.0,815.0
GA-MAXPW_EASY_100_023,158,241,1090,352,1063.0,732.0
GA-MAXPW_EASY_100_024,178,353,1124,442,1054.0,744.0
GA-MAXPW_EASY_100_025,114,127,1025,280,964.0,706.0
GA-MAXPW_EASY_100_026,138,154,954,224,878.0,582.0
GA-MAXPW_EASY_100_027,188,349,1168,403,1123.0,892.0
GA-MAXPW_EASY_100_028,350,356,1228,462,1160.0,766.0
GA-MAXPW_EASY_100_029,98,128,1226,434,1150.0,701.0
GA-MAXPW_EASY_100_030,272,251,1122,396,1074.0,751.0
GA-MAXPW_EASY_100_031,196,128,1051,352,974.0,606.0
GA-MAXPW_EASY_100_032,381,128,1118,395,1072.0,551.0
GA-MAXPW_EASY_100_033,159,255,1021,243,958.0,655.0
GA-MAXPW_EASY_100_034,298,332,1053,347,1053.0,654.0
GA-MAXPW_EASY_100_035,335,595,1444,659,1353.0,1052.0
GA-MAXPW_EASY_100_036,225,486,1221,479,1221.0,664.0
GA-MAXPW_EASY_100_037,133,162,999,246,935.0,676.0
GA-MAXPW_EASY_100_038,252,182,1069,307,1002.0,745.0
GA-MAXPW_EASY_100_039,150,362,1141,410,1108.0,860.0
GA-MAXPW_EASY_100_040,193,350,1150,380,1103.0,879.0
GA-MAXPW_EASY_100_041,167,507,1294,525,1294.0,972.0
GA-MAXPW_EASY_100_042,256,335,1007,351,981.0,593.0
GA-MAXPW_EASY_100_043,214,128,1106,384,1031.0,876.0
GA-MAXPW_EASY_100_044,54,289,1080,329,1017.0,747.0
GA-MAXPW_EASY_100_045,127,127,959,233,912.0,785.0
GA-MAXPW_EASY_100_046,138,128,941,184,856.0,692.0
GA-MAXPW_EASY_100_047,129,234,1050,324,1022.0,791.0
GA-MAXPW_EASY_100_048,256,286,988,262,988.0,602.0
GA-MAXPW_EASY_100_049,180,198,957,209,957.0,652.0
GA-MAXPW_EASY_100_050,103,210,1164,417,1137.0,838.0
GA-MAXPW_EASY_100_051,132,383,1099,334,1052.0,770.0
GA-MAXPW_EASY_100_052,187,386,1208,352,1121.0,853.0
GA-MAXPW_EASY_100_053,217,248,1095,308,1045.0,674.0
GA-MAXPW_EASY_100_054,210,477,1178,426,1114.0,973.0
GA-MAXPW_EASY_100_055,246,249,992,278,932.0,749.0
GA-MAXPW_EASY_100_056,160,133,985,239,985.0,584.0
GA-MAXPW_EASY_100_057,339,357,1219,444,1122.0,810.0
GA-MAXPW_EASY_100_058,349,256,1229,460,1195.0,788.0
GA-MAXPW_EASY_100_059,231,499,1274,495,1274.0,783.0
GA-MAXPW_EASY_100_060,11,184,1029,302,969.0,915.0
GA-MAXPW_EASY_100_061,262,253,1043,305,1043.0,805.0
