INSTANCE,DEF,MAXP,MAXPW,MINW,CAHH_W,CAHH_W_P
GA-MAXPW_EASY_100_001,180,382,1142,389,829.0,1142.0
GA-MAXPW_EASY_100_002,180,267,1002,264,839.0,1002.0
GA-MAXPW_EASY_100_003,182,351,1146,353,933.0,1146.0
GA-MAXPW_EASY_100_004,215,142,1069,357,829.0,1069.0
GA-MAXPW_EASY_100_005,174,253,1025,278,799.0,1025.0
GA-MAXPW_EASY_100_006,141,254,1060,274,802.0,1060.0
GA-MAXPW_EASY_100_007,332,281,1170,420,1093.0,1170.0
GA-MAXPW_EASY_100_008,116,303,1066,310,1000.0,1066.0
GA-MAXPW_EASY_100_009,126,128,894,169,724.0,894.0
GA-MAXPW_EASY_100_010,206,380,1295,522,978.0,1295.0
GA-MAXPW_EASY_100_011,164,349,1082,329,960.0,1082.0
GA-MAXPW_EASY_100_012,307,256,1014,298,947.0,1014.0
GA-MAXPW_EASY_100_013,290,128,1375,662,1254.0,1375.0
GA-MAXPW_EASY_100_014,190,212,1110,343,1045.0,1110.0
GA-MAXPW_EASY_100_015,262,253,1155,353,917.0,1155.0
GA-MAXPW_EASY_100_016,257,498,1352,629,1257.0,1352.0
GA-MAXPW_EASY_100_017,136,252,955,270,752.0,955.0
GA-MAXPW_EASY_100_018,291,128,1097,335,891.0,1097.0
GA-MAXPW_EASY_100_019,268,167,1053,346,780.0,1053.0
GA-MAXPW_EASY_100_020,384,501,1278,514,985.0,1278.0
GA-MAXPW_EASY_100_021,203,408,1161,374,946.0,1161.0
GA-MAXPW_EASY_100_022,242,248,1173,355,1070.0,1173.0
GA-MAXPW_EASY_100_023,158,241,1090,352,760.0,1090.0
GA-MAXPW_EASY_100_024,178,353,1124,442,929.0,1124.0
GA-MAXPW_EASY_100_025,114,127,1025,280,751.0,1025.0
GA-MAXPW_EASY_100_026,138,154,954,224,823.0,954.0
GA-MAXPW_EASY_100_027,188,349,1168,403,802.0,1168.0
GA-MAXPW_EASY_100_028,350,356,1228,462,1019.0,1228.0
GA-MAXPW_EASY_100_029,98,128,1226,434,974.0,1226.0
GA-MAXPW_EASY_100_030,272,251,1122,396,1009.0,1122.0
GA-MAXPW_EASY_100_031,196,128,1051,352,852.0,1051.0
GA-MAXPW_EASY_100_032,381,128,1118,395,979.0,1118.0
GA-MAXPW_EASY_100_033,159,255,1021,243,897.0,1021.0
GA-MAXPW_EASY_100_034,298,332,1053,347,859.0,1053.0
GA-MAXPW_EASY_100_035,335,595,1444,659,1133.0,1444.0
GA-MAXPW_EASY_100_036,225,486,1221,479,1147.0,1221.0
GA-MAXPW_EASY_100_037,133,162,999,246,833.0,999.0
GA-MAXPW_EASY_100_038,252,182,1069,307,760.0,1069.0
GA-MAXPW_EASY_100_039,150,362,1141,410,944.0,1141.0
GA-MAXPW_EASY_100_040,193,350,1150,380,933.0,1150.0
GA-MAXPW_EASY_100_041,167,507,1294,525,1179.0,1294.0
GA-MAXPW_EASY_100_042,256,335,1007,351,825.0,1007.0
GA-MAXPW_EASY_100_043,214,128,1106,384,985.0,1106.0
GA-MAXPW_EASY_100_044,54,289,1080,329,879.0,1080.0
GA-MAXPW_EASY_100_045,127,127,959,233,801.0,959.0
GA-MAXPW_EASY_100_046,138,128,941,184,804.0,941.0
GA-MAXPW_EASY_100_047,129,234,1050,324,833.0,1050.0
GA-MAXPW_EASY_100_048,256,286,988,262,828.0,988.0
GA-MAXPW_EASY_100_049,180,198,957,209,848.0,957.0
GA-MAXPW_EASY_100_050,103,210,1164,417,900.0,1164.0
GA-MAXPW_EASY_100_051,132,383,1099,334,832.0,1099.0
GA-MAXPW_EASY_100_052,187,386,1208,352,783.0,1208.0
GA-MAXPW_EASY_100_053,217,248,1095,308,729.0,1095.0
GA-MAXPW_EASY_100_054,210,477,1178,426,978.0,1178.0
GA-MAXPW_EASY_100_055,246,249,992,278,910.0,992.0
GA-MAXPW_EASY_100_056,160,133,985,239,860.0,985.0
GA-MAXPW_EASY_100_057,339,357,1219,444,1092.0,1219.0
GA-MAXPW_EASY_100_058,349,256,1229,460,1023.0,1229.0
GA-MAXPW_EASY_100_059,231,499,1274,495,1018.0,1274.0
GA-MAXPW_EASY_100_060,11,184,1029,302,933.0,1029.0
GA-MAXPW_EASY_100_061,262,253,1043,305,944.0,1043.0
GA-MAXPW_EASY_100_062,288,194,1143,391,1046.0,1143.0
GA-MAXPW_EASY_100_063,305,398,1206,401,966.0,1206.0
GA-MAXPW_EASY_100_064,56,379,1117,371,1019.0,1117.0
GA-MAXPW_EASY_100_065,277,255,1022,318,955.0,1022.0
GA-MAXPW_EASY_100_066,49,256,1320,536,960.0,1320.0
GA-MAXPW_EASY_100_067,111,286,1010,251,746.0,1010.0
GA-MAXPW_EASY_100_068,98,343,1132,334,889.0,1132.0
GA-MAXPW_EASY_100_069,243,308,1076,342,948.0,1076.0
GA-MAXPW_EASY_100_070,351,127,1194,459,779.0,1194.0
GA-MAXPW_EASY_100_071,331,312,1085,324,1005.0,1085.0
GA-MAXPW_EASY_100_072,343,296,1125,351,927.0,1125.0
GA-MAXPW_EASY_100_073,320,379,1167,331,955.0,1167.0
GA-MAXPW_EASY_100_074,479,358,1211,475,1038.0,1211.0
GA-MAXPW_EASY_100_075,101,128,1002,292,841.0,1002.0
GA-MAXPW_EASY_100_076,16,308,1037,307,939.0,1037.0
GA-MAXPW_EASY_100_077,229,198,1139,396,864.0,1139.0
GA-MAXPW_EASY_100_078,270,303,1035,308,798.0,1035.0
GA-MAXPW_EASY_100_079,240,151,1053,326,895.0,1053.0
GA-MAXPW_EASY_100_080,159,269,1022,290,724.0,1022.0
GA-MAXPW_EASY_100_081,232,354,1302,507,1066.0,1302.0
GA-MAXPW_EASY_100_082,148,250,1076,326,821.0,1076.0
GA-MAXPW_EASY_100_083,151,402,1128,408,746.0,1128.0
GA-MAXPW_EASY_100_084,147,523,1330,623,1086.0,1330.0
GA-MAXPW_EASY_100_085,155,128,1062,337,790.0,1062.0
GA-MAXPW_EASY_100_086,113,128,1344,614,1110.0,1344.0
GA-MAXPW_EASY_100_087,384,479,1285,435,1106.0,1285.0
GA-MAXPW_EASY_100_088,306,380,1173,450,1099.0,1173.0
GA-MAXPW_EASY_100_089,139,199,1043,220,710.0,1043.0
GA-MAXPW_EASY_100_090,315,219,1076,355,983.0,1076.0
GA-MAXPW_EASY_100_091,386,721,1476,727,1211.0,1476.0
GA-MAXPW_EASY_100_092,297,382,1255,539,900.0,1255.0
GA-MAXPW_EASY_100_093,235,290,1116,366,896.0,1116.0
GA-MAXPW_EASY_100_094,155,128,1141,388,932.0,1141.0
GA-MAXPW_EASY_100_095,196,256,1333,575,1148.0,1333.0
GA-MAXPW_EASY_100_096,288,510,1232,513,983.0,1232.0
GA-MAXPW_EASY_100_097,344,255,1275,462,1118.0,1275.0
GA-MAXPW_EASY_100_098,422,348,1243,500,1012.0,1243.0
GA-MAXPW_EASY_100_099,192,289,1108,431,985.0,1108.0
GA-MAXP_EASY_100_000,291,816,734,618,699.0,734.0
GA-MAXP_EASY_100_001,147,1303,1218,1098,1174.0,1218.0
GA-MAXP_EASY_100_002,283,924,853,641,623.0,853.0
GA-MAXP_EASY_100_003,75,793,734,670,724.0,734.0
GA-MAXP_EASY_100_004,560,926,842,839,835.0,842.0
GA-MAXP_EASY_100_005,226,847,785,613,767.0,785.0
GA-MAXP_EASY_100_006,473,919,842,799,736.0,842.0
GA-MAXP_EASY_100_007,157,671,598,269,508.0,598.0
GA-MAXP_EASY_100_008,500,839,763,555,695.0,763.0
GA-MAXP_EASY_100_009,340,855,780,658,622.0,780.0
GA-MAXP_EASY_100_010,303,715,650,567,715.0,650.0
GA-MAXP_EASY_100_011,142,778,709,638,673.0,709.0
GA-MAXP_EASY_100_012,263,778,713,610,746.0,713.0
GA-MAXP_EASY_100_013,246,823,752,631,590.0,752.0
GA-MAXP_EASY_100_014,297,730,660,488,695.0,660.0
GA-MAXP_EASY_100_015,124,669,596,372,595.0,596.0
GA-MAXP_EASY_100_016,133,539,450,324,411.0,450.0
GA-MAXP_EASY_100_017,74,665,580,497,503.0,580.0
GA-MAXP_EASY_100_018,263,725,624,501,624.0,624.0
GA-MAXP_EASY_100_019,231,582,510,327,483.0,510.0
GA-MAXP_EASY_100_020,306,795,712,552,705.0,712.0
GA-MAXP_EASY_100_021,298,853,761,666,761.0,761.0
GA-MAXP_EASY_100_022,267,859,777,691,773.0,777.0
GA-MAXP_EASY_100_023,243,1109,1039,915,1036.0,1039.0
GA-MAXP_EASY_100_024,147,828,764,647,835.0,764.0
GA-MAXP_EASY_100_025,236,995,914,731,965.0,914.0
GA-MAXP_EASY_100_026,185,656,582,493,517.0,582.0
GA-MAXP_EASY_100_027,159,565,479,234,334.0,479.0
GA-MAXP_EASY_100_028,200,744,674,550,674.0,674.0
GA-MAXP_EASY_100_029,136,516,438,359,438.0,438.0
GA-MAXP_EASY_100_030,145,751,667,439,618.0,667.0
GA-MAXP_EASY_100_031,288,661,580,384,576.0,580.0
GA-MAXP_EASY_100_032,110,646,575,424,566.0,575.0
GA-MAXP_EASY_100_033,4,808,727,670,554.0,727.0
GA-MAXP_EASY_100_034,515,864,791,728,712.0,791.0
GA-MAXP_EASY_100_035,201,1027,942,750,802.0,942.0
GA-MAXP_EASY_100_036,331,912,841,667,828.0,841.0
GA-MAXP_EASY_100_037,378,827,750,634,719.0,750.0
GA-MAXP_EASY_100_038,319,714,626,626,586.0,626.0
GA-MAXP_EASY_100_039,110,950,887,798,686.0,887.0
GA-MAXP_EASY_100_040,238,1054,966,966,844.0,966.0
GA-MAXP_EASY_100_041,254,730,658,535,658.0,658.0
GA-MAXP_EASY_100_042,99,912,837,601,688.0,837.0
GA-MAXP_EASY_100_043,444,949,867,754,842.0,867.0
GA-MAXP_EASY_100_044,253,631,563,456,563.0,563.0
GA-MAXP_EASY_100_045,167,650,587,332,526.0,587.0
GA-MAXP_EASY_100_046,213,821,750,535,720.0,750.0
GA-MAXP_EASY_100_047,193,781,700,625,556.0,700.0
GA-MAXP_EASY_100_048,326,724,655,589,624.0,655.0
GA-MAXP_EASY_100_049,143,586,522,522,428.0,522.0
GA-MAXP_EASY_100_050,195,997,923,804,813.0,923.0
GA-MAXP_EASY_100_051,248,932,853,735,896.0,853.0
GA-MAXP_EASY_100_052,222,960,883,662,842.0,883.0
GA-MAXP_EASY_100_053,271,925,835,835,881.0,835.0
GA-MAXP_EASY_100_054,152,703,635,525,609.0,635.0
GA-MAXP_EASY_100_055,491,763,689,599,670.0,689.0
GA-MAXP_EASY_100_056,292,722,633,520,722.0,633.0
GA-MAXP_EASY_100_057,305,852,772,771,679.0,772.0
GA-MAXP_EASY_100_058,458,590,522,458,522.0,522.0
GA-MAXP_EASY_100_059,52,780,686,582,687.0,686.0
GA-MAXP_EASY_100_060,118,915,848,762,852.0,848.0
GA-MAXP_EASY_100_061,598,1061,991,888,1047.0,991.0
GA-MAXP_EASY_100_062,421,1030,955,747,843.0,955.0
GA-MAXP_EASY_100_063,249,959,896,666,794.0,896.0
GA-MAXP_EASY_100_064,229,663,582,425,582.0,582.0
GA-MAXP_EASY_100_065,178,799,724,612,657.0,724.0
GA-MAXP_EASY_100_066,299,1033,946,924,1019.0,946.0
GA-MAXP_EASY_100_067,32,699,620,502,505.0,620.0
GA-MAXP_EASY_100_068,170,787,703,638,739.0,703.0
GA-MAXP_EASY_100_069,288,745,672,672,671.0,672.0
GA-MAXP_EASY_100_070,160,803,735,634,656.0,735.0
GA-MAXP_EASY_100_071,331,1053,975,862,712.0,975.0
GA-MAXP_EASY_100_072,523,749,681,573,683.0,681.0
GA-MAXP_EASY_100_073,62,941,865,745,654.0,865.0
GA-MAXP_EASY_100_074,284,677,607,607,535.0,607.0
GA-MAXP_EASY_100_075,388,769,692,601,696.0,692.0
GA-MAXP_EASY_100_076,400,854,781,554,756.0,781.0
GA-MAXP_EASY_100_077,172,948,882,696,910.0,882.0
GA-MAXP_EASY_100_078,413,813,729,638,667.0,729.0
GA-MAXP_EASY_100_079,324,848,782,607,688.0,782.0
GA-MAXP_EASY_100_080,254,957,882,771,771.0,882.0
GA-MAXP_EASY_100_081,197,634,554,468,609.0,554.0
GA-MAXP_EASY_100_082,119,672,587,587,558.0,587.0
GA-MAXP_EASY_100_083,288,729,650,542,514.0,650.0
GA-MAXP_EASY_100_084,338,1135,1051,1051,1036.0,1051.0
GA-MAXP_EASY_100_085,96,533,445,359,443.0,445.0
GA-MAXP_EASY_100_086,239,868,799,799,790.0,799.0
GA-MAXP_EASY_100_087,168,780,711,510,711.0,711.0
GA-MAXP_EASY_100_088,65,903,810,810,661.0,810.0
GA-MAXP_EASY_100_089,244,767,700,448,725.0,700.0
GA-MAXP_EASY_100_090,144,818,743,658,678.0,743.0
GA-MAXP_EASY_100_091,359,1084,994,994,778.0,994.0
GA-MAXP_EASY_100_092,363,845,768,768,847.0,768.0
GA-MAXP_EASY_100_093,332,754,666,581,641.0,666.0
GA-MAXP_EASY_100_094,294,764,695,506,682.0,695.0
GA-MAXP_EASY_100_095,485,971,896,789,793.0,896.0
GA-MAXP_EASY_100_096,58,774,703,603,610.0,703.0
GA-MAXP_EASY_100_097,284,782,721,646,706.0,721.0
GA-MAXP_EASY_100_098,114,686,614,537,617.0,614.0
GA-MAXP_EASY_100_099,143,840,768,726,639.0,768.0
GA-MINW_EASY_100_000,420,520,1186,1262,1233.0,1186.0
GA-MINW_EASY_100_001,286,327,715,782,720.0,715.0
GA-MINW_EASY_100_002,229,275,1000,1062,917.0,1000.0
GA-MINW_EASY_100_003,431,872,954,1015,776.0,954.0
GA-MINW_EASY_100_004,207,535,925,986,915.0,925.0
GA-MINW_EASY_100_005,479,721,1165,1233,908.0,1165.0
GA-MINW_EASY_100_006,83,446,1140,1222,959.0,1140.0
GA-MINW_EASY_100_007,283,475,883,948,884.0,883.0
GA-MINW_EASY_100_008,391,488,1285,1354,1211.0,1285.0
