INSTANCE,DEF,MAXP,MAXPW,MINW,CCA,KNN,LOGREG,MLPC,RF,SVM
GA-DEF_EASY_100_071.kp,710,523,638,606,606,523,710,710,710,710
GA-DEF_EASY_100_072.kp,611,246,542,542,246,611,611,246,611,611
GA-DEF_EASY_100_073.kp,715,359,644,472,472,715,715,715,715,715
GA-DEF_EASY_100_074.kp,963,790,890,684,684,790,890,890,963,684
GA-DEF_EASY_100_075.kp,687,535,611,507,507,687,687,535,687,687
GA-DEF_EASY_100_076.kp,666,381,585,472,472,666,666,666,666,666
GA-DEF_EASY_100_077.kp,708,155,634,523,155,708,155,155,155,155
GA-DEF_EASY_100_078.kp,640,497,583,492,492,640,640,640,640,640
GA-DEF_EASY_100_079.kp,803,493,704,697,493,803,803,493,803,803
GA-DEF_EASY_100_080.kp,704,431,641,556,556,704,704,431,704,704
GA-DEF_EASY_100_081.kp,793,357,709,709,709,709,709,709,709,709
GA-DEF_EASY_100_082.kp,547,315,481,391,315,315,547,547,547,315
GA-DEF_EASY_100_083.kp,816,525,732,732,525,525,816,816,525,525
GA-DEF_EASY_100_084.kp,625,348,561,561,348,625,625,625,348,625
GA-DEF_EASY_100_085.kp,906,609,830,830,609,609,906,906,609,609
GA-DEF_EASY_100_086.kp,734,510,660,325,510,510,510,510,510,510
GA-DEF_EASY_100_087.kp,727,558,663,663,663,727,727,558,727,727
GA-DEF_EASY_100_088.kp,834,390,768,580,390,390,580,580,390,390
GA-DEF_EASY_100_089.kp,633,413,566,566,566,633,633,633,633,633
GA-DEF_EASY_100_090.kp,634,250,566,471,250,250,634,250,250,634
GA-DEF_EASY_100_091.kp,960,445,891,768,768,445,768,768,768,768
GA-DEF_EASY_100_092.kp,629,264,544,544,544,629,629,544,544,629
GA-DEF_EASY_100_093.kp,602,405,533,459,405,602,602,602,602,602
GA-DEF_EASY_100_094.kp,763,324,684,684,684,763,763,763,763,763
GA-DEF_EASY_100_095.kp,644,330,576,450,330,330,644,644,330,330
GA-DEF_EASY_100_096.kp,640,452,582,506,452,452,452,452,452,452
GA-DEF_EASY_100_097.kp,770,474,696,694,694,770,694,694,770,474
GA-DEF_EASY_100_098.kp,626,418,547,547,547,626,626,626,418,626
