"INSTANCE","LENGTH","SMALL","LARGE","FFIT","BFIT","WFIT","AWFIT","BEST","ORACLE"
"GA-HardAWF_20_019.bpp",0.484,0.95,0.05,NA,0.942,0.94,0.698,"BFIT",0.942
"GA-HardAWF_20_020.bpp",0.427,1,0,1,1,1,0.745,"FFIT",1
"GA-HardAWF_20_021.bpp",0.455,1,0,0.992,0.992,0.992,0.728,"BFIT",0.992
"GA-HardAWF_20_022.bpp",0.413,1,0,1,1,1,1,"AWFIT",1
"GA-HardAWF_20_023.bpp",0.4,0.85,0.15,1,1,1,0.667,"WFIT",1
"GA-HardAWF_20_024.bpp",0.413,1,0,1,1,1,NA,"FFIT",1
"GA-HardBF_20_000.bpp",0.548,1,0,0.988,0.757,0.988,0.988,"FFIT",0.988
"GA-HardBF_20_001.bpp",0.589,1,0,0.905,0.741,0.905,0.905,"AWFIT",0.905
"GA-HardBF_20_002.bpp",0.427,1,0,0.77,0.77,NA,0.769,"FFIT",0.77
"GA-HardBF_20_003.bpp",0.55,0.95,0.05,0.848,0.666,0.843,NA,"FFIT",0.848
"GA-HardBF_20_004.bpp",0.573,0.95,0.05,0.711,0.711,0.711,0.711,"WFIT",0.711
"GA-HardBF_20_005.bpp",0.569,1,0,0.86,0.86,0.846,0.86,"AWFIT",0.86
"GA-HardBF_20_006.bpp",0.441,1,0,0.707,0.707,0.705,0.707,"FFIT",0.707
"GA-HardBF_20_007.bpp",0.518,1,0,0.945,0.738,0.945,0.945,"WFIT",0.945
"GA-HardBF_20_008.bpp",0.486,0.95,0.05,0.945,NA,0.946,0.945,"WFIT",0.946
"GA-HardBF_20_009.bpp",0.505,1,0,NA,0.757,0.958,0.745,"WFIT",0.958
"GA-HardBF_20_010.bpp",0.472,0.95,0.05,0.894,NA,0.894,0.894,"FFIT",0.894
"GA-HardBF_20_011.bpp",0.495,0.9,0.1,0.982,0.71,0.982,0.982,"FFIT",0.982
"GA-HardBF_20_012.bpp",0.631,1,0,0.804,NA,0.77,0.804,"AWFIT",0.804
"GA-HardBF_20_013.bpp",0.494,0.95,0.05,0.738,NA,0.737,0.738,"AWFIT",0.738
"GA-HardBF_20_014.bpp",0.513,1,0,0.988,0.794,0.988,NA,"FFIT",0.988
"GA-HardBF_20_015.bpp",0.503,1,0,0.952,0.952,0.951,0.952,"BFIT",0.952
